Top 100 Rank,Text,Author-last,Author-first,Gender,Nationality,Coordinates,Date
,Comparing Religions,Kripal,Jeffery J.,M,United States,"37.09024,-95.712891",1962-01-01
,Tao Te Ching,Lao Tzu,,M,China,"35.86166,104.195397",-602
,Freedom of a Christian,Luther,Martin,M,Germany,"51.165691,10.451526",1483-01-01
,The Cistercian Morte Darthur,Malory,Thomas,M,United Kingdom,"55.378051,-3.435973",1405-01-01
,Don Juan and Other Plays,Moliere,,M,France,"46.227638,2.213749",1622-01-01
,The Complete Essays,Montaigne, Michel de,M,France,"46.227638,2.213749",1533-01-01
,On the Advantages and Disadvantages of History for Life,Nietzsche,Friedrich,M,Germany,"51.165691,10.451526",1844-01-01
,Letters,Petrarch,,M,Italy,"41.87194,12.567380",1304-01-01
,The Canzoniere,Petrarch,,M,Italy,"41.87194,12.567380",1304-01-01
,Meno,Plato,,M,Greece,"39.074208,21.824312",-430
,Ennead V,Plotinus,,M,Egypt,"26.820553,30.802498",204-01-01
,Britannicus Phaedra and Athaliah,Racine,Jean,M,France,"46.227638,2.213749",1639-01-01
,Politics and the Arts: Letter to M. D'Alembert on the Theatre,Rousseau,Jean-Jacques,M,France,"46.227638,2.213749",1712-01-01
,Discourse on the Arts and Sciences,Rousseau Jean-Jacques,,M,France,"46.227638,2.213749",1712-01-01
,Midnight's Children: a Novel,Rushdie,Salman,M,India,"20.593684,78.962880",1947-01-01
,Practical Grammar: A Canadian Writer's Resource,Ruvinsky,Maxine,F,Canada,"56.130366,-106.346771",
,Letters on the Aesthetic Eduction of Man,Schiller,Friedrich,M,Germany,"51.165691,10.451526",1759-01-01
,Defense of Poetry,Sidney,Philip,M,United Kingdom,"55.378051,-3.435973",1554-01-01
,The Liberation of Jerusalem,Tasso,Torquato,M,Italy,"41.87194,12.567380",1544-01-01
,Modern Social Imaginaries,Taylor,Charles,M,Canada,"56.130366,-106.346771",1931-01-01
,Music in the Western World,Weiss,Piero,M,Italy,"41.87194,12.567380",1928-01-01
,Listening to Music,Wright,Craig,M,United States,"37.09024,-95.712891",1944-01-01
,Anthropology: A Continental Perspective,Wulf,Christoph,M,Germany,"51.165691,10.451526",1944-01-01
,Epic of Gilgamesh,,,,Iraq,"33.223191,43.679291",
,The Bhagavad Gita,,,,India,"20.593684,78.962880",
,Upanisads,,,,India,"20.593684,78.962880",
,New Oxford Annotated Bible with the Apocrypha,,,,Israel,"31.046051,34.851612",
,The Complete Dead Sea Scrolls in English,,,,Palestine,"31.952162,35.233154",
,The Talmud: A Selection,,,,Israel,"31.046051,34.851612",
,The Koran Interpreted,,,,Saudi Arabia,"23.885942,45.079162",
,American Declaration of Independence,,,,United States,"37.09024,-95.712891",1776-01-01
,Huon de Bordeaux,,,,France,"46.227638,2.213749",
